Timestamp	What were your honest first impressions of coming across a manga by Tatsuki Fujimoto? Was it CSM or Fire Punch or a one-shot? What did you think of it? Was it cool, dumb, weird, funny, amazing, garbage?
7/4/2022 16:35:30	test
7/4/2022 16:37:27	(CSM) It was surreal. It was my first real manga ever, and I was blown away. The incredible details, that not overbearing humor, the gore, it's just become this amazing new medium I can enjoy because of him.
7/4/2022 16:38:32	It was CSM... it was so fast so frenetic and intense I just thought wow that is for me!!!
7/4/2022 16:39:29	Gay
7/4/2022 16:40:15	chainsaw man had me on the verge of ejaculation
7/4/2022 16:40:48	The first manga I read from Fujimoto was CSM which was also the first manga I’ve read and still my favourite, after that I read Fire Punch and that brought out emotions I didn’t even know I had, I’ve been loving his recent one shots and the best way to describe his writing is that it’s an experience. 
7/4/2022 16:42:12	CSM, addictive 
7/4/2022 16:42:57	csm:i actually started reading it because a friend recommended it to me but you see the exact next day was when the anime got announced so i decided I'll put tge manga on hold and just watch the anime but in the few chapters i did read i saw the most amazing shit I have ever seen in my life
7/4/2022 16:44:50	Chainsaw Man. I thought it seemed interesting and I thought Pochita was cute so I decided to read it and got hooked really quickly, loved it, and ended up going through the whole thing in just a few days.
7/4/2022 16:45:05	I haven’t read any of his works, but have heard so much good things from you, and many other influencers and people online. I’m really excited to see CSM in anime form.
7/4/2022 16:46:11	I had Chainsaw Man recommended to me (I think by Eyepatch Wolf) and read through all of it in 2 sittings. I thought it was a fantastic manga and among the best I've read. I've seen few stories where a plot twist is pulled off so fantastically. I then went on to check out his recent one-shots, Look Back and Goodbye, Eri, which were extremely resonant as someone who enjoys creating art. I recently re-read them both and caught so much more the second time around. I love the message of art making connections between people and bringing out the best in them. I'll always remember the page where Fujino thinks about all the negatives of creating manga only for the page to end with a panel of Kyomoto's infectious smile.  Fujimoto's one of the greats imo, up there with Oda, Muira, and Araki.
7/4/2022 16:46:24	Heard a lot about chainsaw man & people hyping it up, I went into it thinking it was gonna be some average generic shounen but it happened to be one of my favourite mangas of all time
